id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
170398,Lebanon,LBN,34.554951,36.195099,"[34.554951, 36.195099]",Recommended figure,Conflict,total,329,2024-11-24,2024-11-21,2024-11-24,2024,20613,Lebanon: International armed conflict (IAC) (Hostilities Lebanon/Israel) - Countrywide - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,"Akkar District, Akkar Governorate, Lebanon","34.554951, 36.195099",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2024-12-03T16:51:22.011782Z,"Lebanon: 329 displacements, 21 November - 24 November. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 329 people were displaced to Akkar District, Akkar due to hostilities at the southern Lebanese border between 21 and 24 November 2024.",https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,Conflict
170396,Lebanon,LBN,33.638432,35.543652,"[33.638432, 35.543652]",Recommended figure,Conflict,total,1110,2024-11-24,2024-11-21,2024-11-24,2024,20613,Lebanon: International armed conflict (IAC) (Hostilities Lebanon/Israel) - Countrywide - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,"Chouf District, Mount Lebanon Governorate, Lebanon","33.638432, 35.543652",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2024-12-03T16:38:32.656566Z,"Lebanon: 1,110 displacements, 21 November - 24 November. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 1,110 people were displaced to Chouf District, Mount Lebanon due to hostilities at the southern Lebanese border between 21 and 24 November 2024.",https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,Conflict
170399,Lebanon,LBN,33.45813,35.353119,"[33.45813, 35.353119]",Recommended figure,Conflict,total,252,2024-11-24,2024-11-21,2024-11-24,2024,20613,Lebanon: International armed conflict (IAC) (Hostilities Lebanon/Israel) - Countrywide - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,"Sidon District, Lebanon","33.45813, 35.353119",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2024-12-03T16:51:22.054047Z,"Lebanon: 252 displacements, 21 November - 24 November. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 252 people were displaced to Sidon District, South due to hostilities at the southern Lebanese border between 21 and 24 November 2024.",https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,Conflict
170400,Lebanon,LBN,34.013229,35.800831,"[34.013229, 35.800831]",Recommended figure,Conflict,total,218,2024-11-24,2024-11-21,2024-11-24,2024,20613,Lebanon: International armed conflict (IAC) (Hostilities Lebanon/Israel) - Countrywide - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,"Keserwan District, Mount Lebanon Governorate, Lebanon","34.013229, 35.800831",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2024-12-03T16:51:22.099108Z,"Lebanon: 218 displacements, 21 November - 24 November. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 218 people were displaced to Keserwan District, Mount Lebanon due to hostilities at the southern Lebanese border between 21 and 24 November 2024.",https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,Conflict
170401,Lebanon,LBN,33.59132,35.729389,"[33.59132, 35.729389]",Recommended figure,Conflict,total,155,2024-11-24,2024-11-21,2024-11-24,2024,20613,Lebanon: International armed conflict (IAC) (Hostilities Lebanon/Israel) - Countrywide - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,"Western Beqaa District, Beqaa Governorate, Lebanon","33.59132, 35.729389",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2024-12-03T16:51:22.163532Z,"Lebanon: 155 displacements, 21 November - 24 November. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 155 people were displaced to Western Beqaa District, Beqaa due to hostilities at the southern Lebanese border between 21 and 24 November 2024.",https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,Conflict
170397,Lebanon,LBN,33.909809,35.7225,"[33.909809, 35.7225]",Recommended figure,Conflict,total,526,2024-11-24,2024-11-21,2024-11-24,2024,20613,Lebanon: International armed conflict (IAC) (Hostilities Lebanon/Israel) - Countrywide - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,"Matn District, Mount Lebanon Governorate, Lebanon","33.909809, 35.7225",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2024-12-03T16:51:21.918047Z,"Lebanon: 526 displacements, 21 November - 24 November. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 526 people were displaced to Matn District, Mount Lebanon due to hostilities at the southern Lebanese border between 21 and 24 November 2024.",https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,Conflict
170402,Lebanon,LBN,34.238449,35.986992,"[34.238449, 35.986992]",Recommended figure,Conflict,total,150,2024-11-24,2024-11-21,2024-11-24,2024,20613,Lebanon: International armed conflict (IAC) (Hostilities Lebanon/Israel) - Countrywide - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,"Bsharri District, North Governorate, Lebanon","34.238449, 35.986992",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2024-12-03T16:51:22.221649Z,"Lebanon: 150 displacements, 21 November - 24 November. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 150 people were displaced to Bsharri District, North due to hostilities at the southern Lebanese border between 21 and 24 November 2024.",https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,Conflict
170404,Lebanon,LBN,33.213039,35.289219,"[33.213039, 35.289219]",Recommended figure,Conflict,total,150,2024-11-24,2024-11-21,2024-11-24,2024,20613,Lebanon: International armed conflict (IAC) (Hostilities Lebanon/Israel) - Countrywide - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,"Tyre District, South Governorate, Lebanon","33.213039, 35.289219",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2024-12-03T17:04:35.966043Z,"Lebanon: 150 displacements, 21 November - 24 November. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 150 people were displaced to Tyre District, South due to hostilities at the southern Lebanese border between 21 and 24 November 2024.",https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,Conflict
170405,Lebanon,LBN,33.37532,35.732731,"[33.37532, 35.732731]",Recommended figure,Conflict,total,134,2024-11-24,2024-11-21,2024-11-24,2024,20613,Lebanon: International armed conflict (IAC) (Hostilities Lebanon/Israel) - Countrywide - 01/01/2024,,,2024-01-01,2024-12-31,,,,,,IOM Displacement Tracking Matrix (IOM DTM),https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,"Hasbaya District, Nabatiya Governorate, Lebanon","33.37532, 35.732731",District/Zone/Department (ADM2),Destination,Displacement without preventive evacuations reported,2024-12-03T17:04:36.081546Z,"Lebanon: 134 displacements, 21 November - 24 November. According to IOM Displacement Tracking Matrix (IOM DTM), a total of 134 people were displaced to Hasbaya District, Nabatiya due to hostilities at the southern Lebanese border between 21 and 24 November 2024.",https://dtm.iom.int/reports/mobility-snapshot-round-65-25-11-2024?close=true,Conflict
