id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,adminLevel,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,operationStatus
#id+code,#operation+name,#country+name,#country+code,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm+level,#affected+idps,#date+reported,#date+year+reported,#date+month+reported,#round+code,#assessment+type,#operation+status
297069,Displacement due to conflict,Lebanon,LBN,,,,,0,5193,2023-10-15T00:00:00,2023,10,1,BA,Active
297070,Displacement due to conflict,Lebanon,LBN,,,,,0,8080,2023-10-15T00:00:00,2023,10,2,BA,Active
297071,Displacement due to conflict,Lebanon,LBN,,,,,0,9801,2023-10-16T00:00:00,2023,10,3,BA,Active
297072,Displacement due to conflict,Lebanon,LBN,,,,,0,10525,2023-10-17T00:00:00,2023,10,4,BA,Active
297073,Displacement due to conflict,Lebanon,LBN,,,,,0,12854,2023-10-18T00:00:00,2023,10,5,BA,Active
297074,Displacement due to conflict,Lebanon,LBN,,,,,0,19646,2023-10-21T00:00:00,2023,10,6,BA,Active
297075,Displacement due to conflict,Lebanon,LBN,,,,,0,21118,2023-10-23T00:00:00,2023,10,7,BA,Active
296496,Displacement due to conflict,Lebanon,LBN,,,,,0,28965,2023-10-26T00:00:00,2023,10,8,BA,Active
296497,Displacement due to conflict,Lebanon,LBN,,,,,0,25708,2023-11-01T00:00:00,2023,11,9,BA,Active
296498,Displacement due to conflict,Lebanon,LBN,,,,,0,26232,2023-11-07T00:00:00,2023,11,10,BA,Active
296499,Displacement due to conflict,Lebanon,LBN,,,,,0,46325,2023-11-14T00:00:00,2023,11,11,BA,Active
296500,Displacement due to conflict,Lebanon,LBN,,,,,0,55491,2023-11-21T00:00:00,2023,11,12,BA,Active
296501,Displacement due to conflict,Lebanon,LBN,,,,,0,55183,2023-11-28T00:00:00,2023,11,13,BA,Active
296502,Displacement due to conflict,Lebanon,LBN,,,,,0,58835,2023-12-05T00:00:00,2023,12,14,BA,Active
296503,Displacement due to conflict,Lebanon,LBN,,,,,0,64053,2023-12-12T00:00:00,2023,12,15,BA,Active
296504,Displacement due to conflict,Lebanon,LBN,,,,,0,72437,2023-12-19T00:00:00,2023,12,16,BA,Active
296505,Displacement due to conflict,Lebanon,LBN,,,,,0,74471,2023-12-26T00:00:00,2023,12,17,BA,Active
296506,Displacement due to conflict,Lebanon,LBN,,,,,0,76018,2024-01-02T00:00:00,2024,1,18,BA,Active
296507,Displacement due to conflict,Lebanon,LBN,,,,,0,82012,2024-01-09T00:00:00,2024,1,19,BA,Active
296508,Displacement due to conflict,Lebanon,LBN,,,,,0,83117,2024-01-16T00:00:00,2024,1,20,BA,Active
296509,Displacement due to conflict,Lebanon,LBN,,,,,0,86874,2024-01-23T00:00:00,2024,1,21,BA,Active
296510,Displacement due to conflict,Lebanon,LBN,,,,,0,86665,2024-01-30T00:00:00,2024,1,22,BA,Active
296511,Displacement due to conflict,Lebanon,LBN,,,,,0,87161,2024-02-06T00:00:00,2024,2,23,BA,Active
296512,Displacement due to conflict,Lebanon,LBN,,,,,0,88276,2024-02-13T00:00:00,2024,2,24,BA,Active
296513,Displacement due to conflict,Lebanon,LBN,,,,,0,89817,2024-02-20T00:00:00,2024,2,25,BA,Active
296514,Displacement due to conflict,Lebanon,LBN,,,,,0,91288,2024-02-27T00:00:00,2024,2,26,BA,Active
296515,Displacement due to conflict,Lebanon,LBN,,,,,0,90859,2024-03-05T00:00:00,2024,3,27,BA,Active
296516,Displacement due to conflict,Lebanon,LBN,,,,,0,91316,2024-03-12T00:00:00,2024,3,28,BA,Active
296517,Displacement due to conflict,Lebanon,LBN,,,,,0,90491,2024-03-19T00:00:00,2024,3,29,BA,Active
296518,Displacement due to conflict,Lebanon,LBN,,,,,0,91405,2024-03-26T00:00:00,2024,3,30,BA,Active
296519,Displacement due to conflict,Lebanon,LBN,,,,,0,93393,2024-04-02T00:00:00,2024,4,31,BA,Active
296520,Displacement due to conflict,Lebanon,LBN,,,,,0,92094,2024-04-09T00:00:00,2024,4,32,BA,Active
296521,Displacement due to conflict,Lebanon,LBN,,,,,0,92621,2024-04-16T00:00:00,2024,4,33,BA,Active
296522,Displacement due to conflict,Lebanon,LBN,,,,,0,93040,2024-04-30T00:00:00,2024,4,34,BA,Active
296523,Displacement due to conflict,Lebanon,LBN,,,,,0,93881,2024-05-14T00:00:00,2024,5,35,BA,Active
296524,Displacement due to conflict,Lebanon,LBN,,,,,0,94126,2024-05-28T00:00:00,2024,5,36,BA,Active
296525,Displacement due to conflict,Lebanon,LBN,,,,,0,95228,2024-06-11T00:00:00,2024,6,37,BA,Active
296526,Displacement due to conflict,Lebanon,LBN,,,,,0,96829,2024-06-25T00:00:00,2024,6,38,BA,Active
296527,Displacement due to conflict,Lebanon,LBN,,,,,0,98002,2024-07-09T00:00:00,2024,7,39,BA,Active
296528,Displacement due to conflict,Lebanon,LBN,,,,,0,98750,2024-07-23T00:00:00,2024,7,40,BA,Active
296529,Displacement due to conflict,Lebanon,LBN,,,,,0,102523,2024-08-08T00:00:00,2024,8,41,BA,Active
296530,Displacement due to conflict,Lebanon,LBN,,,,,0,110099,2024-08-15T00:00:00,2024,8,42,BA,Active
296531,Displacement due to conflict,Lebanon,LBN,,,,,0,111940,2024-08-23T00:00:00,2024,8,43,BA,Active
296532,Displacement due to conflict,Lebanon,LBN,,,,,0,113729,2024-08-31T00:00:00,2024,8,44,BA,Active
296533,Displacement due to conflict,Lebanon,LBN,,,,,0,113054,2024-09-01T00:00:00,2024,9,45,BA,Active
296534,Displacement due to conflict,Lebanon,LBN,,,,,0,112545,2024-09-15T00:00:00,2024,9,46,BA,Active
296535,Displacement due to conflict,Lebanon,LBN,,,,,0,111696,2024-09-23T00:00:00,2024,9,47,BA,Active
296536,Displacement due to conflict,Lebanon,LBN,,,,,0,211319,2024-09-30T00:00:00,2024,9,48,BA,Active
296537,Displacement due to conflict,Lebanon,LBN,,,,,0,346209,2024-10-01T00:00:00,2024,10,49,BA,Active
296863,Displacement due to conflict,Lebanon,LBN,,,,,0,541527,2024-10-04T00:00:00,2024,10,50,BA,Active
296864,Displacement due to conflict,Lebanon,LBN,,,,,0,608509,2024-10-07T00:00:00,2024,10,51,BA,Active
296865,Displacement due to conflict,Lebanon,LBN,,,,,0,689715,2024-10-10T00:00:00,2024,10,52,BA,Active
296866,Displacement due to conflict,Lebanon,LBN,,,,,0,746584,2024-10-14T00:00:00,2024,10,53,BA,Active
296867,Displacement due to conflict,Lebanon,LBN,,,,,0,779613,2024-10-17T00:00:00,2024,10,54,BA,Active
296868,Displacement due to conflict,Lebanon,LBN,,,,,0,809043,2024-10-21T00:00:00,2024,10,55,BA,Active
296869,Displacement due to conflict,Lebanon,LBN,,,,,0,833391,2024-10-24T00:00:00,2024,10,56,BA,Active
296870,Displacement due to conflict,Lebanon,LBN,,,,,0,834746,2024-10-28T00:00:00,2024,10,57,BA,Active
296871,Displacement due to conflict,Lebanon,LBN,,,,,0,842648,2024-10-31T00:00:00,2024,10,58,BA,Active
296872,Displacement due to conflict,Lebanon,LBN,,,,,0,872808,2024-11-03T00:00:00,2024,11,59,BA,Active
296873,Displacement due to conflict,Lebanon,LBN,,,,,0,875180,2024-11-06T00:00:00,2024,11,60,BA,Active
296874,Displacement due to conflict,Lebanon,LBN,,,,,0,878497,2024-11-10T00:00:00,2024,11,61,BA,Active
296875,Displacement due to conflict,Lebanon,LBN,,,,,0,881326,2024-11-13T00:00:00,2024,11,62,BA,Active
296876,Displacement due to conflict,Lebanon,LBN,,,,,0,886028,2024-11-17T00:00:00,2024,11,63,BA,Active
296877,Displacement due to conflict,Lebanon,LBN,,,,,0,896315,2024-11-20T00:00:00,2024,11,64,BA,Active
296878,Displacement due to conflict,Lebanon,LBN,,,,,0,899725,2024-11-24T00:00:00,2024,11,65,BA,Active
296879,Displacement due to conflict,Lebanon,LBN,,,,,0,201820,2024-12-04T00:00:00,2024,12,66,BA,Active
296880,Displacement due to conflict,Lebanon,LBN,,,,,0,178817,2024-12-11T00:00:00,2024,12,67,BA,Active
296881,Displacement due to conflict,Lebanon,LBN,,,,,0,165428,2024-12-18T00:00:00,2024,12,68,BA,Active
296882,Displacement due to conflict,Lebanon,LBN,,,,,0,160900,2024-12-25T00:00:00,2024,12,69,BA,Active
296883,Displacement due to conflict,Lebanon,LBN,,,,,0,123774,2024-12-31T00:00:00,2024,12,70,BA,Active
296884,Displacement due to conflict,Lebanon,LBN,,,,,0,115439,2025-01-08T00:00:00,2025,1,71,BA,Active
296885,Displacement due to conflict,Lebanon,LBN,,,,,0,113578,2025-01-15T00:00:00,2025,1,72,BA,Active
296886,Displacement due to conflict,Lebanon,LBN,,,,,0,112076,2025-01-22T00:00:00,2025,1,73,BA,Active
296887,Displacement due to conflict,Lebanon,LBN,,,,,0,103346,2025-01-29T00:00:00,2025,1,74,BA,Active
296888,Displacement due to conflict,Lebanon,LBN,,,,,0,98986,2025-02-05T00:00:00,2025,2,75,BA,Active
